Date,MA,PYPL,V
2022-04-07,341.8670959472656,112.77928161621094,209.64183044433594
2022-04-08,344.52734375,110.95350646972656,210.44683837890625
2022-04-11,339.7350769042969,109.55673217773438,208.2839813232422
2022-04-12,338.1994934082031,108.00033569335938,205.03485107421875
2022-04-13,347.334228515625,104.92743682861328,206.84854125976562
2022-04-14,349.955322265625,102.07402801513672,206.38296508789062
2022-04-18,348.95770263671875,100.3480224609375,206.75152587890625
2022-04-19,355.8724060058594,103.4209213256836,209.20535278320312
2022-04-20,357.2611999511719,94.68112182617188,211.23243713378906
2022-04-21,356.4299011230469,89.19380950927734,209.9328155517578
2022-04-22,343.4612731933594,85.83158111572266,201.902099609375
2022-04-25,346.8061828613281,87.57754516601562,203.62852478027344
2022-04-26,336.5466613769531,83.50695037841797,195.0449676513672
2022-04-27,353.6230163574219,82.41947174072266,207.66323852539062
2022-04-28,370.5035705566406,91.87760162353516,214.01605224609375
2022-04-29,355.3932189941406,87.7271957397461,206.71278381347656
2022-05-02,351.1485290527344,91.31889343261719,205.16094970703125
2022-05-03,349.92608642578125,90.50078582763672,202.28036499023438
2022-05-04,360.42010498046875,92.50614929199219,208.0609130859375
2022-05-05,345.6031494140625,85.23296356201172,199.0603485107422
2022-05-06,339.4904479980469,81.49161529541016,196.7131805419922
2022-05-09,320.781005859375,79.34657287597656,187.18887329101562
2022-05-10,318.1794738769531,78.56837463378906,187.7514190673828
2022-05-11,318.7076416015625,74.99662780761719,190.796875
2022-05-12,314.1793518066406,74.11865997314453,188.48895263671875
2022-05-13,325.4852600097656,78.64818572998047,193.60032653808594
2022-05-16,322.4827880859375,77.47090911865234,192.22047424316406
2022-05-17,331.4121398925781,79.5660629272461,198.23556518554688
2022-05-18,328.5171203613281,77.00199127197266,194.33885192871094
2022-05-19,324.91802978515625,81.09253692626953,191.79287719726562
2022-05-20,328.791015625,80.35424041748047,193.40599060058594
2022-05-23,340.771728515625,80.99276733398438,201.69496154785156
2022-05-24,333.20184326171875,78.4686050415039,196.9042510986328
2022-05-25,337.18243408203125,79.93521118164062,198.08004760742188
2022-05-26,342.19970703125,80.2345199584961,202.65696716308594
2022-05-27,349.91619873046875,85.01347351074219,206.86460876464844
2022-05-31,350.0042419433594,85.01347351074219,206.17466735839844
2022-06-01,349.2120666503906,82.2897720336914,203.99795532226562
2022-06-02,355.0997619628906,88.11629486083984,208.97332763671875
2022-06-03,349.955322265625,86.33042907714844,206.64109802246094
2022-06-06,352.2243957519531,86.60977935791016,206.9229278564453
2022-06-07,356.01910400390625,88.38567352294922,208.4388427734375
2022-06-08,354.3662109375,87.30816650390625,207.4671173095703
2022-06-09,341.3292236328125,83.91600799560547,200.2859344482422
2022-06-10,327.39239501953125,79.11710357666016,193.87240600585938
2022-06-13,312.71234130859375,73.54997253417969,186.82728576660156
2022-06-14,315.0596618652344,72.29287719726562,188.05166625976562
2022-06-15,318.23809814453125,75.65510559082031,190.61708068847656
2022-06-16,301.9931945800781,71.06571960449219,183.70797729492188
2022-06-17,303.8612060546875,72.73186492919922,184.640869140625
2022-06-21,310.4237976074219,72.20308685302734,188.8971405029297
2022-06-22,309.201171875,72.80170440673828,188.3432159423828
2022-06-23,309.7978515625,73.63976287841797,191.08349609375
2022-06-24,323.23583984375,77.50083923339844,199.70289611816406
2022-06-27,321.6025695800781,75.76485443115234,197.8079376220703
2022-06-28,311.2943115234375,71.65435028076172,192.5216827392578
2022-06-29,315.4996643066406,71.30516052246094,193.86268615722656
2022-06-30,308.54595947265625,69.67891693115234,191.32644653320312
2022-07-01,311.2452697753906,71.23532104492188,193.55172729492188
2022-07-05,312.24285888671875,74.22840881347656,194.87330627441406
2022-07-06,313.1329040527344,73.07107543945312,195.4368896484375
2022-07-07,317.4329833984375,74.86692810058594,197.06944274902344
2022-07-08,316.4436340332031,73.2606430053711,197.8176727294922
2022-07-11,317.5505065917969,70.3074722290039,199.26556396484375
2022-07-12,316.24774169921875,71.26525115966797,199.0323944091797
2022-07-13,316.7472839355469,71.19541931152344,198.38133239746094
2022-07-14,318.3732604980469,69.38959503173828,200.09158325195312
2022-07-15,325.7588806152344,73.73954010009766,204.10482788085938
2022-07-18,324.23077392578125,73.95902252197266,201.35484313964844
2022-07-19,333.4089660644531,77.56069946289062,207.62258911132812
2022-07-20,334.28070068359375,80.054931640625,207.3407745361328
2022-07-21,339.8150329589844,82.55914306640625,210.08108520507812
2022-07-22,336.8372802734375,80.86306762695312,207.6614227294922
2022-07-25,337.1604919433594,81.46168518066406,208.21534729003906
2022-07-26,334.29046630859375,76.86231231689453,206.4856414794922
2022-07-27,336.23974609375,86.2206802368164,204.52273559570312
2022-07-28,345.2317810058594,85.66197204589844,205.37782287597656
2022-07-29,346.5443420410156,86.33042907714844,206.1163787841797
2022-08-01,343.3609313964844,88.36073303222656,205.38755798339844
2022-08-02,341.86212158203125,89.42327117919922,200.4316864013672
2022-08-03,346.8773193359375,97.69415283203125,202.5889434814453
2022-08-04,348.777587890625,96.7563247680664,207.43792724609375
2022-08-05,350.1881103515625,95.10015106201172,209.7701416015625
2022-08-08,344.94769287109375,96.0379867553711,207.2921905517578
2022-08-09,339.4427490234375,94.26209259033203,204.3186492919922
2022-08-10,346.1426696777344,98.68187713623047,206.1066436767578
2022-08-11,343.4000244140625,98.88141632080078,205.47879028320312
2022-08-12,347.014404296875,100.8668212890625,205.72215270996094
2022-08-15,352.57818603515625,101.27587890625,210.67710876464844
2022-08-16,351.89251708984375,101.84456634521484,211.3779754638672
2022-08-17,348.052734375,99.1906967163086,208.8275146484375
2022-08-18,350.0411682128906,99.62968444824219,209.53810119628906
2022-08-19,347.0243835449219,96.33728790283203,207.17262268066406
2022-08-22,338.43389892578125,93.36416625976562,203.0743408203125
2022-08-23,333.908447265625,92.98503875732422,201.31234741210938
2022-08-24,332.7526550292969,93.54375457763672,201.18582153320312
2022-08-25,337.611083984375,96.4969253540039,204.252197265625
2022-08-26,325.1613464355469,92.48619079589844,197.50611877441406
2022-08-29,322.6048583984375,92.4462890625,196.96095275878906
2022-08-30,321.0963134765625,91.58827209472656,196.0361785888672
2022-08-31,317.7268371582031,93.22449493408203,193.43702697753906
2022-09-01,318.5888366699219,92.4462890625,194.8193359375
2022-09-02,315.95391845703125,90.91981506347656,192.51222229003906
2022-09-06,317.4427185058594,91.40369415283203,193.368896484375
2022-09-07,321.8898010253906,94.75096130371094,195.10165405273438
2022-09-08,323.31011962890625,95.94818878173828,195.38397216796875
2022-09-09,328.9717712402344,96.008056640625,199.75479125976562
2022-09-12,331.4891052246094,97.4247817993164,201.14686584472656
2022-09-13,318.77496337890625,94.7908706665039,194.37156677246094
2022-09-14,319.1765441894531,97.43476104736328,194.11846923828125
2022-09-15,310.46856689453125,96.17766571044922,190.1856689453125
2022-09-16,308.6759948730469,93.78319549560547,188.1706085205078
2022-09-19,307.59857177734375,94.81082153320312,188.0050811767578
2022-09-20,306.8542175292969,91.41866302490234,186.97325134277344
2022-09-21,298.26385498046875,90.9697036743164,182.0572052001953
2022-09-22,292.2494812011719,87.45782470703125,180.85986328125
2022-09-23,287.56744384765625,86.76941680908203,179.07846069335938
2022-09-26,284.16845703125,84.06566619873047,175.79786682128906
2022-09-27,280.61285400390625,85.5522232055664,173.1500244140625
2022-09-28,284.23699951171875,90.90984344482422,174.4252471923828
2022-09-29,280.8968505859375,88.49542236328125,175.2819366455078
2022-09-30,278.51666259765625,85.87149047851562,172.9358673095703
2022-10-03,284.53094482421875,86.97892761230469,176.82974243164062
2022-10-04,295.0998840332031,92.57598876953125,180.72357177734375
2022-10-05,297.9699401855469,93.61359405517578,182.6899871826172
2022-10-06,293.5745849609375,94.20222473144531,180.66519165039062
2022-10-07,289.39508056640625,89.96202850341797,178.951904296875
2022-10-10,286.265380859375,84.32505798339844,177.3456573486328
2022-10-11,280.6436462402344,82.89836120605469,174.38633728027344
2022-10-12,278.0241394042969,83.61669921875,173.5102081298828
2022-10-13,288.4041442871094,83.8461685180664,179.75987243652344
2022-10-14,283.2337646484375,80.28440856933594,177.77398681640625
2022-10-17,289.46380615234375,84.4647445678711,180.33421325683594
2022-10-18,294.70281982421875,85.0932846069336,182.20323181152344
2022-10-19,292.1324157714844,84.27517700195312,181.46339416503906
2022-10-20,290.6803283691406,84.58446502685547,182.25192260742188
2022-10-21,296.65521240234375,83.74640655517578,185.31834411621094
2022-10-24,299.8242492675781,83.1278305053711,185.6492919921875
2022-10-25,305.52435302734375,89.03417205810547,189.22195434570312
2022-10-26,313.4712829589844,88.34577178955078,197.93443298339844
2022-10-27,313.333984375,87.1485366821289,198.86898803710938
2022-10-28,323.2430725097656,86.05107116699219,203.7849578857422
2022-10-31,321.9773864746094,83.3872299194336,201.66282653808594
2022-11-01,326.8927307128906,82.9183120727539,201.4388885498047
2022-11-02,313.77545166015625,79.26675415039062,195.6175994873047
2022-11-03,303.3267517089844,76.37345123291016,189.5821075439453
2022-11-04,312.3528137207031,75.00660705566406,191.75294494628906
2022-11-07,318.9850769042969,77.48088836669922,194.79014587402344
2022-11-08,319.5933837890625,80.94287872314453,196.42555236816406
2022-11-09,309.6744079589844,78.49853515625,189.20584106445312
2022-11-10,330.8955993652344,86.59980773925781,200.56228637695312
2022-11-11,332.8774719238281,90.8200454711914,200.00616455078125
2022-11-14,332.9559326171875,89.30355834960938,201.8208465576172
2022-11-15,337.0177001953125,89.65274810791016,204.87461853027344
2022-11-16,336.2818908691406,86.83924865722656,205.02093505859375
2022-11-17,334.8200378417969,85.4424819946289,205.85025024414062
2022-11-18,337.1943054199219,84.72413635253906,205.6648712158203
2022-11-21,331.8570556640625,80.44403076171875,201.29400634765625
2022-11-22,338.44024658203125,79.72570037841797,205.206298828125
2022-11-23,342.0506896972656,80.56375885009766,206.5722198486328
2022-11-25,344.6506652832031,79.89530181884766,208.58203125
2022-11-28,338.0772399902344,79.74565124511719,206.11366271972656
2022-11-29,336.6448974609375,77.46092987060547,203.9672393798828
2022-11-30,349.6640930175781,78.22915649414062,211.71383666992188
2022-12-01,353.98095703125,78.348876953125,211.71383666992188
2022-12-02,353.2548828125,74.48780822753906,212.3577423095703
2022-12-05,349.35992431640625,73.45020294189453,208.47470092773438
2022-12-06,340.96173095703125,72.06341552734375,203.98678588867188
2022-12-07,340.8537902832031,74.24835205078125,202.7476806640625
2022-12-08,344.5329284667969,74.04882049560547,204.00628662109375
2022-12-09,342.2371826171875,73.40031433105469,203.61602783203125
2022-12-12,351.4006652832031,73.62979125976562,209.36256408691406
2022-12-13,350.3999328613281,73.53001403808594,207.85031127929688
2022-12-14,350.7530822753906,72.46248626708984,208.12350463867188
2022-12-15,339.7059020996094,69.60907745361328,202.84527587890625
2022-12-16,339.3037109375,69.10025787353516,201.85009765625
2022-12-19,334.8101806640625,68.79096984863281,199.83058166503906
2022-12-20,336.46826171875,68.6014175415039,200.3573760986328
2022-12-21,339.156494140625,69.05036926269531,201.77207946777344
2022-12-22,335.0652770996094,68.41184997558594,200.06468200683594
2022-12-23,337.10595703125,68.87078857421875,200.81594848632812
2022-12-27,339.61761474609375,68.17240905761719,201.2647247314453
2022-12-28,335.4872131347656,67.39420318603516,199.99639892578125
2022-12-29,341.62884521484375,70.39725494384766,202.9916229248047
2022-12-30,341.1579284667969,71.05574035644531,202.6989288330078
2023-01-03,340.2454833984375,74.40798950195312,202.33795166015625
2023-01-04,348.4377136230469,77.51081848144531,207.43080139160156
2023-01-05,345.12158203125,76.09408569335938,205.9673309326172
2023-01-06,361.3065490722656,76.3036117553711,212.445556640625
2023-01-09,364.5493469238281,76.9022216796875,213.27487182617188
2023-01-10,364.5886535644531,77.74028015136719,215.70420837402344
2023-01-11,371.320068359375,78.35885620117188,216.68959045410156
2023-01-12,373.2363586425781,79.59599304199219,218.17257690429688
2023-01-13,369.0206298828125,79.29669189453125,217.626220703125
2023-01-17,368.5096435546875,79.99507141113281,217.56764221191406
2023-01-18,362.5348815917969,77.1316909790039,214.11390686035156
2023-01-19,361.5718078613281,76.57298278808594,215.04078674316406
2023-01-20,369.7674560546875,78.90758514404297,218.84579467773438
2023-01-23,372.0179138183594,79.31664276123047,218.71890258789062
2023-01-24,373.43292236328125,79.3964614868164,218.4359893798828
2023-01-25,375.7717590332031,78.91756439208984,219.42140197753906
2023-01-26,370.7108459472656,80.62361907958984,219.23602294921875
2023-01-27,367.55645751953125,81.64126586914062,225.8020477294922
2023-01-30,364.69683837890625,79.45631408691406,223.5190887451172
2023-01-31,364.1857604980469,81.30204772949219,224.60206604003906
2023-02-01,367.6055908203125,82.71878051757812,225.27523803710938
2023-02-02,368.4507141113281,86.75943756103516,223.96788024902344
2023-02-03,367.4385070800781,85.32275390625,224.5240020751953
2023-02-06,366.5147705078125,82.1401138305664,223.85079956054688
2023-02-07,368.568603515625,83.03804016113281,225.6850128173828
2023-02-08,363.94012451171875,79.5361328125,224.59226989746094
2023-02-09,364.0089416503906,78.23912811279297,224.20126342773438
2023-02-10,360.4809875488281,80.6136474609375,222.09951782226562
2023-02-13,364.41180419921875,79.26675415039062,223.7418212890625
2023-02-14,363.5568542480469,77.0818099975586,224.24038696289062
2023-02-15,363.2424011230469,77.73030853271484,223.78091430664062
2023-02-16,361.18853759765625,76.55303192138672,220.76028442382812
2023-02-17,354.87969970703125,74.48780822753906,218.54122924804688
2023-02-21,349.7991638183594,75.06646728515625,215.667236328125
2023-02-22,348.8262939453125,75.30591583251953,215.08071899414062
2023-02-23,349.3766174316406,75.01658630371094,216.16580200195312
2023-02-24,347.00836181640625,73.38036346435547,214.6212615966797
2023-02-27,349.3275451660156,73.599853515625,215.4033203125
2023-02-28,349.1407470703125,73.43024444580078,215.00253295898438
2023-03-01,347.3818054199219,73.64974212646484,213.4579620361328
2023-03-02,349.4159240722656,73.92909240722656,214.14227294921875
2023-03-03,355.2433166503906,76.11404418945312,218.7465362548828
2023-03-06,360.5793151855469,76.60291290283203,221.65963745117188
2023-03-07,353.7102966308594,74.73722839355469,218.16000366210938
2023-03-08,352.8160400390625,75.66507720947266,217.2020263671875
2023-03-09,348.3055114746094,75.75487518310547,215.07095336914062
2023-03-10,341.1023254394531,73.2606430053711,211.28781127929688
2023-03-13,338.7438659667969,72.44253540039062,209.6553192138672
2023-03-14,346.7135314941406,73.07107543945312,213.75125122070312
2023-03-15,342.0555419921875,73.73954010009766,211.5126495361328
2023-03-16,341.9769287109375,74.17852020263672,212.56838989257812
2023-03-17,343.60821533203125,72.8216552734375,212.509765625
2023-03-20,343.2740783691406,73.04114532470703,213.25270080566406
2023-03-21,348.43328857421875,76.54305267333984,216.9674072265625
2023-03-22,344.9545593261719,74.16854095458984,215.1002655029297
2023-03-23,348.2366943359375,72.39264678955078,217.59303283691406
2023-03-24,345.54412841796875,73.70960235595703,216.0778045654297
2023-03-27,348.48236083984375,73.13094329833984,216.83050537109375
2023-03-28,348.19732666015625,72.53231811523438,215.38375854492188
2023-03-29,353.3074035644531,74.0089111328125,218.28709411621094
2023-03-30,353.0420837402344,74.21842956542969,217.36817932128906
